Item name;Variations;Option set 1;Option 1;Option set 2;Option 2;Option set 3;Option 3;Option set 4;Option 4;Is variation visible? (Yes/No);Price;Cost price;Variable price? (Yes/No);Tax rate (%);On sale in Online Store?;Regular price (before sale);Set up different prices and VAT for takeaway;Takeaway price;Takeaway tax rate;Unit;Track inventory? (Yes/No);Quantity;Low stock threshold;SKU;Barcode;Modifiers;Description (Online Store and Invoices only);Category;Display item at Checkout? (Yes/No);Display colour in POS checkout;Image 1;Image 2;Image 3;Image 4;Image 5;Image 6;Image 7;Display item in Online Store? (Yes/No);SEO title (Online Store only);SEO description (Online Store only);Shipping weight [kg] (Online Store only);Display service in Bookings? (Yes/No);Duration [minutes] (Bookings only);Location [business/customer] (Bookings only);Item id (Do not change);Variant id (Do not change);
Celimax retinol shot;;;;;;;;;;Yes;21.75;;No;20.00;No;;No;;;each.each;Yes;7;0;;;;;CELIMAX;Yes;Yellow;https://images.sumup.com/img_56YN3SGD84873RHBTNJ3G2A2PR;;;;;;;Yes;Celimax retinol shot;;;Yes;45;business;a19fb4d2-3ba4-4733-9854-12fb54b606e5;5c1d1481-e33f-4e32-a6c0-de10eeabf4e9;
Celimax serum tightening;;;;;;;;;;Yes;26.40;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;CELIMAX;Yes;;https://images.sumup.com/img_1T5PY4DXXJ9NPB817J8P7A8BK6;;;;;;;Yes;Celimax serum tightening;;;Yes;45;business;20287e73-9c34-4b3d-92e2-339a0eb0fd09;5fd48862-f760-407e-b479-0bc35df85a60;
Centellian24;;;;;;;;;;Yes;18.99;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Centellian24;Yes;Light blue;https://images.sumup.com/img_0W3854J9X887NS069TM1599R43;;;;;;;Yes;Centellian24;;;Yes;45;business;0963345c-2b0f-4264-81be-395c49ba5c4f;09f4f706-f160-4d2a-81d9-5d703d0b4ee2;
Cica-nolB5;;;;;;;;;;Yes;21.50;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;MEDIPEEL;Yes;Light green;https://images.sumup.com/img_73VSEQZQSC8XSR66MEFM1BCNBT;;;;;;;Yes;Cica-nolB5;;;Yes;45;business;0f290d2f-0217-410c-9ebf-63ce21b469a6;cea64d5c-c70d-46af-9e49-5749df711e08;
Cicaterol serum azelaic;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;No;0;0;;;;;Beplain;Yes;Light green;https://images.sumup.com/img_2AAK7661GK9X1930DPXQEQWF3P;;;;;;;Yes;Cicaterol serum azelaic;;;Yes;45;business;76fdbddc-4440-4057-9b03-0dfb268eed1e;53f48fbd-6e23-4395-8b3d-3481ae1ab056;
Cicaterol toner ;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;A'pieu;Yes;Light green;https://images.sumup.com/img_1H5GCY5V8K876BRFQ1BSEBG2YA;;;;;;;Yes;Cicaterol toner ;;;Yes;45;business;42f0b593-ae42-4bd1-ad8d-84451a6738cc;93fcb351-de0f-43ed-89d2-2ba290ca316f;
Collagen peanuts x célavi cleansing foam;;;;;;;;;;Yes;21.99;;No;20.00;No;;No;;;each.each;Yes;2;1;;;;;COLLAGEN;Yes;Pink;https://images.sumup.com/img_6B2BDGB72A88PV1F3M2CCWB5D9;;;;;;;Yes;Collagen peanuts x célavi cleansing foam;;;Yes;45;business;850940f4-80db-4eb8-aabf-b096a42e3ca8;1bdd4172-fa3e-492e-b3e4-9d8f4010d4c6;
Creme probio cica skin 1004;;;;;;;;;;Yes;33.90;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;SKIN 1004;Yes;;https://images.sumup.com/img_0GNWTHRZHY9MPT00MPPRKYWC3Y;https://images.sumup.com/img_7SK0NVJ5KV8719D1MTMJRC1YKV;;;;;;Yes;Creme probio cica skin 1004;;;Yes;45;business;4b463bf0-e33d-4c92-9121-cad0bae52bbf;bd155042-fe8f-4d82-a49e-aa134850e708;
Creme solaire aqua missha;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;6;0;;;;;Missha;Yes;Light blue;https://images.sumup.com/img_0WZK9SBRCF90SA4YRP0RBEX41K;;;;;;;Yes;Creme solaire aqua missha;;;Yes;45;business;6b953b75-efb0-4a54-9ba1-9901f8a8cbb0;255abac9-3b23-4190-8010-7628ffa8eaf2;
DEWDAP sun cream ;;;;;;;;;;Yes;14.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Dewpad;Yes;Pink;https://images.sumup.com/img_4Y89R8AWFV9ASRSNE3ZM4NS2FF;;;;;;;Yes;DEWDAP sun cream ;;;Yes;45;business;b86f0b6a-6509-4651-9f58-ae9fa1887bf3;9bc901c8-66c3-4428-861d-096aecac495b;
DEWPAD dewtoxlift cleanser ;;;;;;;;;;Yes;18.50;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Dewpad;Yes;;https://images.sumup.com/img_58AAY2P7KG9Y3VCBAG5MPCEMHG;;;;;;;Yes;DEWPAD dewtoxlift cleanser ;;;Yes;45;business;83d30195-5244-474c-98c9-62083be77646;d03b48a0-d972-4de9-b615-2aa62781fd7a;
DR ALTHEA - 147 Barrier Cream;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_4ZZ86E6G8P9498TGHDD3JX792Z;;;;;;;Yes;;;;Yes;45;business;DD5E8986-B54B-4066-B704-83CA361A1C44;051EBBB8-8FEB-413A-BF91-3B20278E19B8;
DR ALTHEA - 345 Barrier Cream;;;;;;;;;;Yes;28.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_11WSEHT0W58FM8H3833PFSXC8E;;;;;;;Yes;;;;Yes;45;business;9AD581B5-01DD-4F66-89C3-0B5BB26A78DA;503DB919-77B6-4579-9623-E82BB025302B;
DR ALTHEA - Gentle Vitamin C Serum;;;;;;;;;;Yes;26.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_3SSSQDG52G84N9H66AXHYYZQ39;;;;;;;Yes;Dr Althea 20%;;;Yes;45;business;605ad887-6888-4fee-8629-4ede306fbcd7;90252bc4-1ddb-418a-bb48-9d08b6ab6a9e;
DR ALTHEA - Rapid Firm Sculpting Cream;;;;;;;;;;Yes;30.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_6V5TK8HX8H8ZD90HEKRD8XYY67;;;;;;;No;;;;No;45;business;EE3ABFDD-EC82-438E-8713-FB8E57E1D1A6;3DF2C5F8-24A5-40B7-81FE-0F098040BD65;
DR ALTHEA - Vitamin C Boosting Serum ;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;3;1;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_0ZBJ3Z1FYE9TKTHKBJSFBKGN54;;;;;;;Yes;;;;Yes;45;business;2E15F185-F0C4-42D5-A017-7A2BA5C64789;F98C0EB5-5C07-4AF6-B9BF-A1D48FF8E88F;
Daeng gi meo ri ;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;Daeng Gi Meo Ri;Yes;Black;https://images.sumup.com/img_2Z5WY9A8G99C89ZFJEE41Q6V5K;;;;;;;Yes;Daeng gi meo ri ;;;Yes;45;business;2a8ac609-b316-42b9-adeb-3821597c50a5;bfe7f6f9-d263-4cfe-9c00-2bf2884fae7c;
Dewdap cicatea sun cream;;;;;;;;;;Yes;17.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;Dewpad;Yes;Light green;https://images.sumup.com/img_4WE8ZDAW9C8XC90RKXQM5986YZ;;;;;;;Yes;Dewdap cicatea sun cream;;;Yes;45;business;a002e5e0-a0ba-482e-a681-af4d91f62e19;6feeeaed-7307-4215-af4a-6f695a73804e;
Dewdap v- fit cream;;;;;;;;;;Yes;19.50;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Dewpad;Yes;;https://images.sumup.com/img_3PQAWS5STX9T1B33A9C1CJR4ST;;;;;;;Yes;Dewdap v- fit cream;;;Yes;45;business;6f85e562-f950-4965-83d5-c52c10ccfce7;057f8350-d878-44d5-a733-c602ab5f182f;
Dr Althea - 2% Toner pads acide salicylique ;;;;;;;;;;Yes;32.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_77GV8K0TDQ8EDBSZRBSD5VYT94;;;;;;;Yes;;;;Yes;45;business;C1C483A7-8851-420B-ACC6-D5D93A4CDB2F;ADE8A366-E076-40A6-964F-CEBA989C5168;
